Parsing sentences from training set
Initial loss (7809426.9624207867, 4.7257675880596056e-13) theoretical step size 5.60717030489e-09
enwik-200/BFGDiter_from2PPM_dim50_step1e-06_0.0
Iter #: 0 loss (7809426.9624207867, 4.7257675880596056e-13)
Iter #: 10 loss (7775268.9505496388, 0.014969126160429938)
Iter #: 20 loss (7751907.3707995946, 0.028685054690877149)
Iter #: 30 loss (7701531.5137826297, 0.04190907274606142)
Iter #: 40 loss (7579751.1328035509, 0.059438141906672265)
Iter #: 50 loss (7387868.1013052361, 0.090694813947839154)
Iter #: 60 loss (7194007.7965909643, 0.13187457859380719)
Iter #: 70 loss (7029692.9538438171, 0.1694290655190698)
Iter #: 80 loss (6890082.94634928, 0.19815897581138209)
Iter #: 90 loss (6768501.786099866, 0.22048705658265028)
Iter #: 100 loss (6662178.8774457723, 0.23973128299419982)
Iter #: 110 loss (6568714.8924875017, 0.25700930413458833)
Iter #: 120 loss (6485197.8271420142, 0.27228317955778014)
Iter #: 130 loss (6409062.8867643904, 0.28568699766118699)
Iter #: 140 loss (6338445.1028112229, 0.29760466229846583)
Iter #: 150 loss (6272097.8422509441, 0.3084123947273934)
Iter #: 160 loss (6209269.795958464, 0.31836373498786147)
Iter #: 170 loss (6149620.9789992366, 0.32758816558282899)
Iter #: 180 loss (6093125.6923747901, 0.33613035472149683)
Iter #: 190 loss (6039915.9935606187, 0.34399533537599508)
Iter #: 200 loss (5990098.7590764994, 0.35118426681460746)
Iter #: 210 loss (5943638.2671626154, 0.35771327542846171)
Iter #: 220 loss (5900354.654222426, 0.36361609646355447)
Iter #: 230 loss (5859998.3396732109, 0.36893832207767185)
Iter #: 240 loss (5822325.7544975225, 0.37373088892438017)
Iter #: 250 loss (5787132.7653159732, 0.37804571769769413)
Iter #: 260 loss (5754246.4731225735, 0.38193322871517843)
Iter #: 270 loss (5723500.6171604935, 0.38544092448211048)
Iter #: 280 loss (5694719.2467138628, 0.38861261293369476)
Iter #: 290 loss (5667717.1259246748, 0.39148809000658746)
Iter #: 300 loss (5642310.5061075045, 0.39410313313125495)
Iter #: 310 loss (5618328.4529193882, 0.39648965690282173)
Iter #: 320 loss (5595619.4571051588, 0.39867592973107191)
